Susan,Little,slittle0@yahoo.com,Cuba,Female,Boyeros,Browsezoom,97651.11,CUP
Denise,Black,dblack1@salon.com,Philippines,Female,Maguling,Geba,55594.35,PHP
Janice,Wheeler,jwheeler2@addtoany.com,China,Female,Huangzhou,Bubblebox,38725.78,CNY
David,Romero,dromero3@usgs.gov,China,Male,Dapo,Centimia,6787.29,CNY
Beverly,Gray,bgray4@cnet.com,Guatemala,Female,San Cristóbal Verapaz,Muxo,58474.94,GTQ
Jeffrey,Oliver,joliver5@mayoclinic.com,Poland,Male,Milanów,Kwimbee,71758.24,PLN
Martha,Martin,mmartin6@google.ru,China,Female,Muzhijie,Rhybox,,CNY
Norma,Diaz,ndiaz7@bravesites.com,China,Female,Liyuan,Ooba,40211.65,CNY
Christopher,Wood,cwood8@jiathis.com,China,Male,Miaoling,Aimbo,71928.54,CNY
Patricia,Bennett,pbennett9@yolasite.com,Norway,Female,Bodø,Quinu,44882.22,NOK
Betty,Andrews,bandrewsa@mit.edu,Sweden,Female,Säffle,Shufflester,,SEK
Frances,Barnes,fbarnesb@163.com,Netherlands,Female,Brunssum,Feedmix,71245.13,EUR
Jimmy,Baker,jbakerc@hao123.com,Mexico,Male,Guadalupe,Twiyo,60333.89,MXN
Jonathan,Berry,jberryd@usnews.com,Indonesia,Male,Lohayong,Eayo,51916.09,IDR
Kevin,Allen,kallene@ucoz.com,Philippines,Male,San Isidro,Lazz,58233.47,PHP
Willie,Fields,wfieldsf@about.com,Philippines,Male,Hingatungan,Jazzy,57276.20,PHP
Philip,Williamson,pwilliamsong@telegraph.co.uk,Nigeria,Male,Ohafia-Ifigh,Feedfish,61434.20,NGN
Angela,Cooper,acooperh@github.io,Peru,Female,Huayacundo Arma,Realbridge,65813.54,PEN
Jeremy,Wheeler,jwheeleri@toplist.cz,Ivory Coast,Male,Oumé,Quinu,43596.74,XOF
Aaron,Black,ablackj@cdc.gov,Macedonia,Male,Sredno Konjare,Linktype,23452.04,MKD
