Jennifer,Palmer,jpalmer0@jimdo.com,Philippines,Female,Teresita,Riffpath,,PHP
Julia,Webb,jwebb1@rakuten.co.jp,Indonesia,Female,Leran,Wikido,34885.09,IDR
Kimberly,Parker,kparker2@upenn.edu,Canada,Female,Aylmer,Plajo,55464.25,CAD
Todd,Parker,tparker3@google.com.au,Syria,Male,كاف الجاع,Photolist,61268.46,SYP
Ashley,Edwards,aedwards4@usatoday.com,China,Female,Nijiangping,Mita,90144.09,CNY
Ryan,Garrett,rgarrett5@wikipedia.org,Tajikistan,Male,Norak,Thoughtblab,42855.46,TJS
Amanda,Lawson,alawson6@nationalgeographic.com,Russia,Female,Lazo,Thoughtmix,81766.57,RUB
Norma,Harrison,nharrison7@army.mil,Argentina,Female,Laborde,Skinix,77433.46,ARS
Emily,West,ewest8@newsvine.com,Indonesia,Female,Mor Laok,Edgepulse,59807.39,IDR
Julie,Chapman,jchapman9@mashable.com,China,Female,Wu’an,Gigaclub,49006.22,CNY
Shawn,Patterson,spattersona@redcross.org,Russia,Male,Svetlyy,Jayo,11103.52,RUB
Debra,Green,dgreenb@noaa.gov,Brazil,Female,Bariri,Katz,18171.77,BRL
Diana,Nelson,dnelsonc@buzzfeed.com,Greece,Female,Irákleia,Miboo,8609.85,EUR
Sarah,Ford,sfordd@wordpress.org,Mexico,Female,Emiliano Zapata,Wikivu,1687.18,MXN
Ann,Jenkins,ajenkinse@usda.gov,Brazil,Female,São Mateus do Maranhão,Dynazzy,39183.54,BRL
Anne,Black,ablackf@xing.com,Kenya,Female,Kapenguria,Eazzy,4734.25,KES
Christine,Fuller,cfullerg@issuu.com,Mongolia,Female,Bayan,Snaptags,59035.60,MNT
Pamela,Fuller,pfullerh@hhs.gov,Indonesia,Female,Mulawato,Flashpoint,89187.93,IDR
Samuel,Howell,showelli@goo.gl,Canada,Male,Montague,Quinu,24977.88,CAD
Justin,Mills,jmillsj@si.edu,China,Male,Changhe,Jaxspan,,CNY
Sandra,Perez,sperezk@goo.ne.jp,South Korea,Female,Cheongsong gun,Rhyloo,14612.63,KRW
Sandra,Dixon,sdixonl@tmall.com,Democratic Republic of the Congo,Female,Businga,Quamba,7853.05,CDF
Andrea,Alexander,aalexanderm@about.me,Cyprus,Female,Kyrenia,Zoonder,37453.58,EUR
Timothy,Wells,twellsn@usda.gov,Bosnia and Herzegovina,Male,Sanski Most,Wikido,39265.47,BAM
