Justin,Barnes,jbarnes0@vinaora.com,Bosnia and Herzegovina,Male,Gradačac,Yodel,3782.94,BAM
Margaret,Wood,mwood1@imageshack.us,China,Female,Dongshan,Oloo,22510.44,CNY
Craig,Stanley,cstanley2@aol.com,Slovenia,Male,Koroška Bela,Livetube,29717.74,EUR
Adam,Rivera,arivera3@howstuffworks.com,Indonesia,Male,Penitik,Fivespan,99340.84,IDR
Lisa,Jenkins,ljenkins4@mediafire.com,China,Female,Xinzha,Devbug,56644.04,CNY
Denise,Harvey,dharvey5@cpanel.net,Sweden,Female,Halmstad,Skimia,4584.56,SEK
Diane,Simmons,dsimmons6@mapy.cz,Japan,Female,Taketoyo,Centidel,42860.99,JPY
Annie,Ramirez,aramirez7@washingtonpost.com,Mexico,Female,Francisco Villa,Youbridge,98732.50,MXN
Anna,Hunt,ahunt8@t-online.de,Bulgaria,Female,Kiten,Bluezoom,47672.99,BGN
Sandra,Long,slong9@ocn.ne.jp,China,Female,Si’en,Dabjam,,CNY
Joseph,Jordan,jjordana@comsenz.com,China,Male,Gyangqai,Gigabox,76800.30,CNY
Jason,Hunt,jhuntb@nature.com,Mexico,Male,Independencia,Demizz,,MXN
Billy,Mccoy,bmccoyc@adobe.com,Portugal,Male,Portela,Camido,8760.26,EUR
Margaret,Alexander,malexanderd@feedburner.com,China,Female,Rushanzhai,Oyope,64924.41,CNY
Ryan,Williamson,rwilliamsone@booking.com,Russia,Male,Rogachëvo,Wikizz,42884.76,RUB
Fred,Edwards,fedwardsf@sphinn.com,Ukraine,Male,Tyshkivka,Kwilith,2860.05,UAH
Evelyn,Flores,efloresg@weibo.com,China,Female,Longgao,Pixoboo,96359.57,CNY
Carl,Dixon,cdixonh@jiathis.com,Czech Republic,Male,Poříčany,Realpoint,19069.23,CZK
Katherine,Stone,kstonei@usatoday.com,Portugal,Female,Grijó,Browsedrive,,EUR
Pamela,Hunt,phuntj@mozilla.com,China,Female,Lingyuan,Latz,8852.09,CNY
Phyllis,Owens,powensk@so-net.ne.jp,Sweden,Female,Västerås,Shuffletag,94001.30,SEK
Cheryl,Griffin,cgriffinl@blogtalkradio.com,Greece,Female,Katoúna,Tanoodle,74397.78,EUR
Alan,Snyder,asnyderm@mysql.com,Azerbaijan,Male,Beylagan,Centizu,42966.38,AZN
Samuel,Thomas,sthomasn@yandex.ru,Netherlands,Male,Best,Bluejam,7006.11,EUR
Susan,Richardson,srichardsono@t-online.de,Colombia,Female,Montenegro,Tagchat,22673.90,COP
Keith,Patterson,kpattersonp@jugem.jp,China,Male,Dongdajie,Mydeo,28645.09,CNY
Barbara,Richardson,brichardsonq@infoseek.co.jp,Poland,Female,Sokolniki,Twimbo,24970.37,PLN
Douglas,King,dkingr@discovery.com,Peru,Male,Colquemarca,Skiptube,87610.54,PEN
Jesse,Wheeler,jwheelers@usgs.gov,China,Male,Xiqi,Wordtune,11956.30,CNY
Brandon,Bryant,bbryantt@123-reg.co.uk,China,Male,Yueyang,Voonte,61477.47,CNY
Lori,Franklin,lfranklinu@nasa.gov,Indonesia,Female,Pameungpeuk,Yacero,2616.83,IDR
Nicole,Hunt,nhuntv@flickr.com,China,Female,Fuxin,Jabbertype,60124.30,CNY
Earl,Allen,eallenw@sbwire.com,Brazil,Male,Cabreúva,Thoughtstorm,93837.35,BRL
Annie,Ferguson,afergusonx@bizjournals.com,Mexico,Female,San Juan,Livepath,92984.89,MXN
Henry,Jones,hjonesy@gravatar.com,United States,Male,Greensboro,Jabbersphere,12030.69,USD
Joyce,Nichols,jnicholsz@nationalgeographic.com,Cameroon,Female,Banyo,Zoomzone,65210.51,XAF
Kenneth,Kim,kkim10@nsw.gov.au,China,Male,Nawu,Tagfeed,72935.75,CNY
